Year,Area,Production,Yield,Type
1966-67,78.21,48.89,625,Kharif
1967-68,81.49,60.76,746,Kharif
1968-69,80.4,59.57,741,Kharif
1969-70,82.3,62.35,758,Kharif
1970-71,82.36,68.92,837,Kharif
1971-72,79.22,62.99,795,Kharif
1972-73,78.34,58.64,749,Kharif
1973-74,84.12,67.84,806,Kharif
1974-75,79.74,59.1,741,Kharif
1975-76,83.15,73.89,889,Kharif
1976-77,81.18,66.53,820,Kharif
1977-78,82.88,77.72,938,Kharif
1978-79,82.85,78.08,942,Kharif
1979-80,80.79,63.25,783,Kharif
1980-81,83.21,77.65,933,Kharif
1981-82,83.93,79.38,946,Kharif
1982-83,79.08,69.9,884,Kharif
1983-84,84.14,89.23,1060,Kharif
1984-85,81.18,84.52,1041,Kharif
1985-86,81.8,85.25,1042,Kharif
1986-87,81.46,80.2,985,Kharif
1987-88,74.89,74.56,996,Kharif
1988-89,82.03,95.64,1166,Kharif
1989-90,81.4,100.99,1241,Kharif
1990-91,80.78,99.44,1231,Kharif
1991-92,78.02,91.59,1174,Kharif
1992-93,77.92,101.47,1302,Kharif
1993-94,75.81,100.4,1324,Kharif
1994-95,75.19,101.09,1344,Kharif
1995-96,73.6,95.12,1292,Kharif
1996-97,75.34,103.82,1379,Kharif
1997-98,74.37,101.58,1370,Kharif
1998-99,73.99,102.91,1391,Kharif
1999-00,73.24,105.51,1441,Kharif
2000-01,75.22,102.09,1357,Kharif
2001-02,74.23,112.07,1510,Kharif
2002-03,68.56,87.22,1272,Kharif
2003-04,75.44,117,1551,Kharif
2004-05,72.26,103.31,1430,Kharif
2005-06,72.72,109.87,1511,Kharif
2006-07,72.67,110.58,1522,Kharif
2007-08,73.58,121,1644,Kharif
2008-09,71.45,118.18,1654,Kharif
2009-10,69.51,104,1496,Kharif
2010-11,72.42,120.9,1669,Kharif
2011-12,72.08,131.27,1821,Kharif
2012-13,67.69,128.07,1892,Kharif
2013-14,69.05,128.69,1864,Kharif
2014-15,68.77,128.06,1862,Kharif
2015-16,69.2,125.09,1808,Kharif
2016-17,73.2,138.33,1890,Kharif
2017-18,72.06,140.73,1953,Kharif
1966-67,37.09,25.34,683,Rabi
1967-68,39.93,34.29,859,Rabi
1968-69,40.03,34.44,860,Rabi
1969-70,41.27,37.15,900,Rabi
1970-71,41.96,39.5,941,Rabi
1971-72,43.4,42.18,972,Rabi
1972-73,40.94,38.39,938,Rabi
1973-74,42.42,36.83,868,Rabi
1974-75,41.34,40.73,985,Rabi
1975-76,45.03,47.14,1047,Rabi
1976-77,43.18,44.64,1034,Rabi
1977-78,44.64,48.69,1091,Rabi
1978-79,46.16,53.82,1166,Rabi
1979-80,44.42,46.45,1046,Rabi
1980-81,43.46,51.94,1195,Rabi
1981-82,45.21,53.92,1193,Rabi
1982-83,46.02,59.62,1296,Rabi
1983-84,47.02,63.14,1343,Rabi
1984-85,45.49,61.02,1341,Rabi
1985-86,46.22,65.19,1410,Rabi
1986-87,45.74,63.22,1382,Rabi
1987-88,44.8,65.79,1469,Rabi
