"","position","digit","color"
"1",1,"3","#815355"
"2",2,".","#000000"
"3",3,"1","#376996"
"4",4,"4","#C09BD8"
"5",5,"1","#376996"
"6",6,"5","#48284A"
"7",7,"9","#5F758E"
"8",8,"2","#C3B299"
"9",9,"6","#916C80"
"10",10,"5","#48284A"
"11",11,"3","#815355"
"12",12,"5","#48284A"
"13",13,"8","#DB162F"
"14",14,"9","#5F758E"
"15",15,"7","#3B1F2B"
"16",16,"9","#5F758E"
"17",17,"3","#815355"
"18",18,"2","#C3B299"
"19",19,"3","#815355"
"20",20,"8","#DB162F"
"21",21,"4","#C09BD8"
"22",22,"6","#916C80"
"23",23,"2","#C3B299"
"24",24,"6","#916C80"
"25",25,"4","#C09BD8"
"26",26,"3","#815355"
"27",27,"3","#815355"
"28",28,"8","#DB162F"
"29",29,"3","#815355"
"30",30,"2","#C3B299"
"31",31,"7","#3B1F2B"
"32",32,"9","#5F758E"
"33",33,"5","#48284A"
"34",34,"0","#0B0033"
"35",35,"2","#C3B299"
"36",36,"8","#DB162F"
"37",37,"8","#DB162F"
"38",38,"4","#C09BD8"
"39",39,"1","#376996"
"40",40,"9","#5F758E"
"41",41,"7","#3B1F2B"
"42",42,"1","#376996"
"43",43,"6","#916C80"
"44",44,"9","#5F758E"
"45",45,"3","#815355"
"46",46,"9","#5F758E"
"47",47,"9","#5F758E"
"48",48,"3","#815355"
"49",49,"7","#3B1F2B"
"50",50,"5","#48284A"
"51",51,"1","#376996"
"52",52,"0","#0B0033"
"53",53,"5","#48284A"
"54",54,"8","#DB162F"
"55",55,"2","#C3B299"
"56",56,"0","#0B0033"
"57",57,"9","#5F758E"
"58",58,"7","#3B1F2B"
"59",59,"4","#C09BD8"
"60",60,"9","#5F758E"
"61",61,"4","#C09BD8"
"62",62,"4","#C09BD8"
"63",63,"5","#48284A"
"64",64,"9","#5F758E"
"65",65,"2","#C3B299"
"66",66,"3","#815355"
"67",67,"0","#0B0033"
"68",68,"7","#3B1F2B"
"69",69,"8","#DB162F"
"70",70,"1","#376996"
"71",71,"6","#916C80"
"72",72,"4","#C09BD8"
"73",73,"0","#0B0033"
"74",74,"6","#916C80"
"75",75,"2","#C3B299"
"76",76,"8","#DB162F"
"77",77,"6","#916C80"
"78",78,"2","#C3B299"
"79",79,"0","#0B0033"
"80",80,"8","#DB162F"
"81",81,"9","#5F758E"
"82",82,"9","#5F758E"
"83",83,"8","#DB162F"
"84",84,"6","#916C80"
"85",85,"2","#C3B299"
"86",86,"8","#DB162F"
"87",87,"0","#0B0033"
"88",88,"3","#815355"
"89",89,"4","#C09BD8"
"90",90,"8","#DB162F"
"91",91,"2","#C3B299"
"92",92,"5","#48284A"
"93",93,"3","#815355"
"94",94,"4","#C09BD8"
"95",95,"2","#C3B299"
"96",96,"1","#376996"
"97",97,"1","#376996"
"98",98,"7","#3B1F2B"
"99",99,"0","#0B0033"
"100",100,"6","#916C80"
"101",101,"7","#3B1F2B"
"102",102,"9","#5F758E"
"103",103,"8","#DB162F"
"104",104,"2","#C3B299"
"105",105,"1","#376996"
"106",106,"4","#C09BD8"
"107",107,"8","#DB162F"
"108",108,"0","#0B0033"
"109",109,"8","#DB162F"
"110",110,"6","#916C80"
"111",111,"5","#48284A"
"112",112,"1","#376996"
"113",113,"3","#815355"
"114",114,"2","#C3B299"
"115",115,"8","#DB162F"
"116",116,"2","#C3B299"
"117",117,"3","#815355"
"118",118,"0","#0B0033"
"119",119,"6","#916C80"
"120",120,"6","#916C80"
